pred,se,ci.lb,ci.ub,pi.lb,pi.ub,acat,type,prop,prop.lo,prop.hi,prop.lo2,prop.hi2
-3.06478724140174,0.319790820993461,-3.69156573313541,-2.43800874966806,-4.63865452669474,-1.49091995610873,<1,,0.0445833421503914,0.0243264045272026,0.0803198801731709,0.00957807386331156,0.183783687192605
-3.43705962031646,0.30680596987574,-4.0383882715148,-2.83573096911813,-5.0009659796512,-1.87315326098173,1-4,,0.0311571212479262,0.0173205677700546,0.0554236056585863,0.00668643209604998,0.133177285391348
-4.08718002204081,0.319730803237441,-4.71384088113426,-3.46051916294736,-5.6610004648917,-2.51335957918992,5-9,,0.0165093698381493,0.00889050749527562,0.0304566991183226,0.00346697278666563,0.0749269146010207
-4.3052283050929,0.320726087604771,-4.93383988570069,-3.67661672448511,-5.87982649932845,-2.73063011085736,10-14,,0.0133180392943339,0.00714735510915317,0.0246837480861937,0.00278747845871787,0.0611899556222491
